"ID","NAME","PRECISE_NAME","LAYER","STATE","COUNTRY"
36,"alabama","","state","AL","US"
18,"alaska","","state","AK","US"
44,"arizona","","state","AZ","US"
14,"arkansas","","state","AR","US"
29,"california","","state","CA","US"
23,"colorado","","state","CO","US"
28,"connecticut","","state","CT","US"
25,"delaware","","state","DE","US"
47,"district of columbia","","state","DC","US"
32,"florida","","state","FL","US"
12,"georgia","","state","GA","US"
35,"hawaii","","state","HI","US"
33,"idaho","","state","ID","US"
40,"illinois","","state","IL","US"
42,"indiana","","state","IN","US"
43,"iowa","","state","IA","US"
15,"kansas","","state","KS","US"
30,"kentucky","","state","KY","US"
46,"louisiana","","state","LA","US"
51,"maine","","state","ME","US"
5,"maryland","","state","MD","US"
31,"massachusetts","","state","MA","US"
22,"michigan","","state","MI","US"
45,"minnesota","","state","MN","US"
19,"mississippi","","state","MS","US"
34,"missouri","","state","MO","US"
26,"montana","","state","MT","US"
16,"nebraska","","state","NE","US"
11,"nevada","","state","NV","US"
38,"new hampshire","","state","NH","US"
24,"new jersey","","state","NJ","US"
4,"new mexico","","state","NM","US"
13,"new york","","state","NY","US"
52,"north carolina","","state","NC","US"
10,"north dakota","","state","ND","US"
3,"ohio","","state","OH","US"
20,"oklahoma","","state","OK","US"
7,"oregon","","state","OR","US"
2,"pennsylvania","","state","PA","US"
6,"rhode island","","state","RI","US"
37,"south carolina","","state","SC","US"
39,"south dakota","","state","SD","US"
41,"tennessee","","state","TN","US"
49,"texas","","state","TX","US"
17,"utah","","state","UT","US"
50,"vermont","","state","VT","US"
48,"virginia","","state","VA","US"
27,"washington","","state","WA","US"
21,"west virginia","","state","WV","US"
9,"wisconsin","","state","WI","US"
1,"wyoming","","state","WY","US"
185409,"'a' mountain","'a' mountain","micro","AZ","US"
176203,"11th st. bridge","11th st. bridge","micro","DE","US"
173656,"169- fall creek","169- fall creek","micro","IN","US"
179550,"16th street heights","16th street heights","micro","DC","US"
190019,"17th street","17th street","micro","FL","US"
232376,"19th ward","19th ward","micro","NY","US"
260939,"21st century","21st century","micro","TN","US"
164111,"28th/ baseline","28th/ baseline","micro","CO","US"
